3,1,5,565
3,1,6,638
3,1,7,257295
3,1,8,423
3,1,9,169095
3,1,10,730
3,1,11,202977
4,1,7,808
4,1,9,534
4,1,11,640
4,3,7,15
4,3,9,7
4,3,11,10
5,1,7,2
5,1,9,2
5,1,11,4
5,2,7,5
5,2,9,1
5,2,11,4
5,3,7,5
5,3,9,1
5,3,11,2
6,1,7,2
6,1,9,2
6,1,11,3
6,2,7,1546
6,2,9,1033
6,2,11,1264
6,3,6,6
6,3,7,4949
6,3,9,3245
6,3,10,2
6,3,11,3758
6,4,7,3
6,4,9,2
6,4,11,1
7,2,7,37
7,2,9,12
7,2,11,27
7,3,7,2899
7,3,9,1898
7,3,11,2061
7,4,7,476
7,4,9,284
7,4,11,302
7,5,7,1
8,2,7,28
8,2,9,21
8,2,11,39
8,3,7,607
8,3,9,373
8,3,11,423
8,4,7,1530
8,4,9,996
8,4,11,1158
8,5,7,10
8,5,9,11
8,5,11,7
8,6,7,1
9,2,7,1
9,2,9,1
9,2,11,4
9,3,7,59
9,3,9,32
9,3,11,49
9,4,7,961
9,4,8,1
9,4,9,599
9,4,11,731
9,5,7,21
9,5,9,18
9,5,11,16
9,6,11,2
10,3,7,6
10,3,9,1
10,3,11,2
10,4,7,381
10,4,9,267
10,4,11,232
10,5,7,906
10,5,9,596
10,5,10,1
10,5,11,661
10,6,7,20
10,6,9,9
10,6,11,10
11,4,7,19
11,4,9,18
11,4,11,19
11,5,7,907
11,5,9,634
11,5,11,763
11,6,7,153
11,6,9,112
11,6,11,104
12,4,7,4
12,4,9,4
12,4,11,6
12,5,7,174
12,5,9,97
12,5,11,108
12,6,7,3083
12,6,8,26
12,6,9,2053
12,6,10,20
12,6,11,2356
12,7,7,1
12,7,9,2
12,7,11,3
12,8,7,1
13,4,7,1
13,4,11,1
13,5,7,18
13,5,9,19
13,5,11,27
13,6,7,1059
13,6,9,663
13,6,10,1
13,6,11,825
13,7,7,99
13,7,9,63
13,7,11,79
13,8,11,1
14,5,7,3
14,5,9,4
14,5,11,3
14,6,7,599
14,6,9,369
14,6,11,447
14,7,7,1698
14,7,9,1129
14,7,11,1342
14,8,7,14
14,8,9,8
14,8,11,13
15,6,7,51
15,6,9,30
15,6,11,48
15,7,7,1997
15,7,9,1335
15,7,11,1574
15,8,7,222
15,8,9,172
15,8,11,184
15,9,11,1
16,6,7,5
16,6,9,2
16,6,11,2
16,7,7,181
16,7,9,120
16,7,11,129
16,8,7,4128
16,8,8,7
16,8,9,2778
16,8,10,14
16,8,11,3221
17,6,7,1
17,6,9,1
17,7,7,45
17,7,9,30
17,7,11,45
17,8,7,870
17,8,9,564
17,8,11,731
17,9,7,27
17,9,9,12
17,9,11,20
18,6,11,2
18,7,7,15
18,7,9,11
18,7,11,20
18,8,7,1055
18,8,9,677
18,8,11,819
18,9,7,320
18,9,9,197
18,9,11,268
18,10,7,8
18,10,9,7
18,10,11,8
19,7,7,1
19,7,9,11
19,8,7,179
19,8,9,107
19,8,11,117
19,9,7,1256
19,9,9,765
19,9,11,910
19,10,7,82
19,10,9,28
19,10,11,56
20,7,7,1
20,7,11,1
20,8,7,70
20,8,9,51
20,8,11,58
20,9,7,601
20,9,9,469
20,9,11,474
20,10,7,4304
20,10,9,2879
20,10,11,3282
20,11,7,2
21,8,7,25
21,8,9,4
21,8,11,14
21,9,7,276
21,9,9,163
21,9,11,202
21,10,7,3193
21,10,9,2081
21,10,11,2517
21,11,7,77
21,11,9,58
21,11,11,72
22,8,7,1
22,8,9,1
22,8,11,9
22,9,7,60
22,9,9,48
22,9,11,85
22,10,7,5795
22,10,9,3874
22,10,11,4719
22,11,7,1274
22,11,9,890
22,11,11,1043
22,12,7,21
22,12,9,25
22,12,11,24
23,9,7,11
23,9,9,7
23,9,11,9
23,10,7,408
23,10,9,299
23,10,11,302
23,11,7,5103
23,11,9,3567
23,11,11,4065
23,12,7,265
23,12,9,169
23,12,11,206
24,9,7,2
24,9,9,2
24,9,11,2
24,10,7,210
24,10,9,116
24,10,11,183
24,11,7,2596
24,11,9,1629
24,11,11,2088
24,12,7,11878
24,12,9,7643
24,12,11,9448
24,13,7,3
25,10,7,21
25,10,9,13
25,10,11,17
25,11,7,784
25,11,9,495
