3,1,202977
4,1,640
4,3,10
5,1,4
5,2,2
5,3,2
6,1,3
6,2,1264
6,3,3080
6,4,1
7,2,27
7,3,1790
7,4,302
8,2,39
8,3,388
8,4,812
8,5,7
9,2,4
9,3,49
9,4,685
9,5,13
9,6,2
10,3,2
10,4,232
10,5,438
10,6,10
11,4,19
11,5,639
11,6,104
12,4,6
12,5,103
12,6,2239
12,7,3
13,4,1
13,5,27
13,6,714
13,7,78
13,8,1
14,5,3
14,6,441
14,7,876
14,8,13
15,6,48
15,7,1316
15,8,184
15,9,1
16,6,2
16,7,124
16,8,3032
17,7,45
17,8,663
17,9,20
18,6,2
18,7,13
18,8,491
18,9,259
18,10,8
19,8,117
19,9,570
19,10,56
20,7,1
20,8,54
20,9,366
20,10,2442
21,8,14
21,9,163
21,10,2088
21,11,72
22,8,9
22,9,50
22,10,2476
22,11,982
22,12,24
23,9,9
23,10,282
23,11,3428
23,12,206
24,9,2
24,10,179
24,11,1228
24,12,5370
25,10,17
25,11,541
25,12,4563
25,13,75
26,10,3
26,11,108
26,12,6479
26,13,1561
26,14,21
27,11,28
27,12,1132
27,13,8529
27,14,305
28,11,6
28,12,465
28,13,3362
28,14,12678
28,15,1
29,12,40
29,13,1906
29,14,14279
29,15,117
30,12,9
30,13,496
30,14,19499
30,15,2328
30,16,13
31,12,3
31,13,134
31,14,6814
31,15,16538
31,16,258
32,12,1
32,13,15
32,14,4826
32,15,13977
32,16,14773
32,17,3
33,13,15
33,14,523
33,15,15199
33,16,29422
33,17,103
33,19,1
34,13,1
34,14,243
34,15,5309
34,16,67736
34,17,1855
34,18,36
35,14,16
35,15,2592
35,16,53426
35,17,33683
35,18,529
36,14,14
36,15,534
36,16,65184
36,17,49542
36,18,8707651
36,19,3
37,14,5
37,15,332
37,16,15228
37,17,100039
37,18,92179
37,19,11
38,15,77
38,16,7085
38,17,67792
38,18,809646
38,19,149
39,15,1
39,16,224
39,17,68428
39,18,1186853
39,19,4613
40,17,20261
40,18,67906195
40,19,2435
40,20,1
41,18,95572
41,19,465
41,20,5
42,18,10
42,19,40
42,20,7
43,20,31
45,21,1
48,22,1
