5,2,2
6,3,678
7,3,271
8,3,35
8,4,346
9,4,46
9,5,3
10,5,223
11,5,124
12,5,5
12,6,117
13,6,111
13,7,1
14,6,6
14,7,466
15,7,258
16,7,5
16,8,189
17,8,68
18,7,7
18,8,328
18,9,9
19,9,340
20,8,4
20,9,108
20,10,840
21,9,39
21,10,429
22,9,35
22,10,2243
22,11,61
23,10,20
23,11,637
24,10,4
24,11,860
24,12,4078
25,11,35
25,12,916
26,11,6
26,12,3424
26,13,27
27,12,57
27,13,2631
28,12,8
28,13,1551
28,14,7668
29,13,96
29,14,4030
30,13,27
30,14,3588
30,15,25
31,13,8
31,14,305
31,15,7213
32,13,2
32,14,22
32,15,4842
32,16,18826
33,14,15
33,15,576
33,16,15896
34,14,3
34,15,652
34,16,8480
34,17,133
35,15,51
35,16,5204
35,17,56577
36,15,54
36,16,2993
36,17,20
36,18,5626131
37,15,5
37,16,1011
37,17,170355
37,18,47785
38,16,187
38,17,14978
38,18,133687
38,19,8
39,16,1
39,17,591
39,18,169433
39,19,1256892
40,18,4810617
40,20,2189
41,18,1788656
41,19,3753752
42,19,10
42,20,60
45,21,1
