5,2,3
6,3,695
7,3,291
8,3,29
8,4,323
9,4,51
10,5,262
11,4,3
11,5,118
12,5,3
12,6,107
13,6,117
14,6,10
14,7,458
15,7,249
16,7,10
16,8,185
17,8,57
18,8,298
18,9,8
19,8,9
19,9,308
20,9,118
20,10,878
21,9,34
21,10,462
22,9,12
22,10,2294
22,11,67
23,9,1
23,10,16
23,11,631
24,9,2
24,10,8
24,11,767
24,12,3932
25,11,24
25,12,937
26,11,10
26,12,3372
26,13,22
27,12,42
27,13,2554
28,12,5
28,13,1568
28,14,7790
29,12,7
29,13,111
29,14,4032
29,15,3
30,13,41
30,14,3457
30,15,26
31,13,10
31,14,274
31,15,6993
31,16,2
32,13,1
32,14,35
32,15,4718
32,16,18767
33,14,5
33,15,577
33,16,15978
34,14,5
34,15,674
34,16,8397
34,17,154
35,14,3
35,15,50
35,16,5090
35,17,56820
36,15,64
36,16,3166
36,17,15
36,18,47731
37,15,7
37,16,1011
37,17,169784
37,18,47849
38,16,139
38,17,14504
38,18,129074
38,19,3
39,16,1
39,17,589
39,18,168570
39,19,1256036
40,18,58469
40,20,2186
41,18,1782634
41,19,3741508
42,19,13
42,20,53
43,20,3
45,21,1
