4,1,624
4,3,8
5,1,1
5,2,4
5,3,9
6,1,1
6,2,1279
6,3,3470
6,4,4
7,2,15
7,3,1882
7,4,328
8,2,27
8,3,363
8,4,800
8,5,7
9,2,2
9,3,60
9,4,722
9,5,13
10,2,1
10,3,3
10,4,260
10,5,457
10,6,13
11,3,3
11,4,18
11,5,658
11,6,95
12,4,5
12,5,108
12,6,2296
12,7,2
13,5,24
13,6,730
13,7,92
14,5,4
14,6,440
14,7,884
14,8,11
15,6,41
15,7,1319
15,8,175
16,6,6
16,7,125
16,8,3043
17,7,40
17,8,621
17,9,17
18,7,12
18,8,515
18,9,246
18,10,8
19,7,2
19,8,106
19,9,570
19,10,46
20,8,59
20,9,380
20,10,2406
21,8,13
21,9,174
21,10,2081
21,11,72
22,8,3
22,9,65
22,10,2374
22,11,990
22,12,25
23,8,1
23,9,7
23,10,290
23,11,3463
23,12,214
24,8,1
24,9,3
24,10,146
24,11,1202
24,12,5362
25,10,10
25,11,561
25,12,4659
25,13,78
26,10,5
26,11,137
26,12,6280
26,13,1507
26,14,17
27,11,21
27,12,1110
27,13,8661
27,14,280
28,11,4
28,12,480
28,13,3412
28,14,12292
29,11,3
29,12,51
29,13,1896
29,14,13954
29,15,106
29,16,1
30,12,14
30,13,452
30,14,19076
30,15,2297
30,16,14
31,12,3
31,13,120
31,14,6638
31,15,16302
31,16,227
31,17,1
32,12,1
32,13,26
32,14,4691
32,15,14046
32,16,14780
32,17,1
33,13,5
33,14,538
33,15,15293
33,16,29334
33,17,92
34,13,1
34,14,251
34,15,5320
34,16,67171
34,17,1809
34,18,40
35,13,1
35,14,15
35,15,2534
35,16,53732
35,17,33774
35,18,528
36,14,17
36,15,573
36,16,64283
36,17,48593
36,18,32469
36,19,8
37,14,7
37,15,330
37,16,15209
37,17,99737
37,18,91660
37,19,6
38,15,60
38,16,6870
38,17,67957
38,18,533358
38,19,168
38,20,1
39,15,1
39,16,218
39,17,68128
39,18,1186196
39,19,4573
40,17,20248
40,18,2948590
40,19,2456
40,20,2
41,18,95357
41,19,514
41,20,3
42,18,13
42,19,35
42,20,6
43,19,1
43,20,55
44,20,1
45,20,1
