,Iso Symbol,Atomic Number,Mass Number,Counts,Production Yield,Stable,Half Life (s),"Decay Modes (m, b, q MeV)",Max Q-Value,Plot Colour,Production (/yr),Yield per Muon (/yr),BDecay 0-100 (keV)
0,S 16-35,16,35,5229,0.0006903073273568306,False,7550000.0,"[['B-', 1.0, 0.167]]",0.167,red,180.24363,5.229e-05,True
1,P 15-33,15,33,610,8.052925409976413e-05,False,2190000.0,"[['B-', 1.0, 0.249]]",0.249,red,21.0267,6.1e-06,True
2,S 16-38,16,38,169,2.2310563840754324e-05,False,10200.0,"[['B-', 1.0, 2.937]]",2.937,red,5.82543,1.69e-06,True
3,Si 14-34,14,34,5,6.600758532767551e-07,False,2.77,"[['B-', 1.0, 4.601]]",4.601,red,0.17235,5e-08,
4,Mg 12-28,12,28,5,6.600758532767551e-07,False,75300.0,"[['B-', 1.0, 1.832]]",1.832,red,0.17235,5e-08,True
