3,1,203503
4,1,662
4,3,12
5,1,4
5,3,6
6,1,4
6,2,1296
6,3,3136
6,4,1
7,2,21
7,3,1806
7,4,305
8,2,11
8,3,425
8,4,777
8,5,15
9,2,2
9,3,53
9,4,662
9,5,11
10,3,2
10,4,281
10,5,412
10,6,11
11,4,16
11,5,677
11,6,142
12,4,3
12,5,110
12,6,2338
12,7,3
13,4,1
13,5,20
13,6,738
13,7,81
14,5,5
14,6,469
14,7,880
14,8,14
15,6,43
15,7,1270
15,8,190
16,7,164
16,8,2888
17,6,1
17,7,45
17,8,659
17,9,19
18,7,9
18,8,595
18,9,233
18,10,7
19,7,1
19,8,110
19,9,519
19,10,46
20,8,52
20,9,362
20,10,2470
20,11,3
21,8,14
21,9,129
21,10,2013
21,11,55
22,8,1
22,9,63
22,10,2361
22,11,928
22,12,14
23,9,9
23,10,299
23,11,3530
23,12,220
24,9,2
24,10,151
24,11,1187
24,12,5306
25,10,9
25,11,582
25,12,4573
25,13,73
25,14,1
26,10,3
26,11,133
26,12,6234
26,13,1495
26,14,26
27,11,21
27,12,1172
27,13,8426
27,14,269
28,11,5
28,12,424
28,13,3333
28,14,12360
28,15,1
29,12,31
29,13,1854
29,14,14074
29,15,105
30,11,1
30,12,13
30,13,470
30,14,19045
30,15,2298
30,16,14
31,11,1
31,12,1
31,13,121
31,14,6673
31,15,16447
31,16,248
32,13,26
32,14,4825
32,15,14348
32,16,14630
32,17,2
33,13,7
33,14,568
33,15,15065
33,16,29181
33,17,73
34,13,1
34,14,247
34,15,4973
34,16,67256
34,17,1763
34,18,14
35,13,3
35,14,16
35,15,2601
35,16,53750
35,17,33768
35,18,495
36,13,1
36,14,25
36,15,559
36,16,64759
36,17,48717
36,18,32421
36,19,2
37,14,4
37,15,300
37,16,15063
37,17,99827
37,18,91423
37,19,6
38,15,70
38,16,6927
38,17,67864
38,18,533301
38,19,177
39,16,218
39,17,67718
39,18,1184938
39,19,4573
40,17,20139
40,18,2947375
40,19,2520
40,20,1
41,17,1
41,18,94401
41,19,479
41,20,2
42,18,5
42,19,50
42,20,5
43,19,1
43,20,45
44,20,1
45,21,1
