5,2,2
6,3,726
7,3,302
8,3,13
8,4,363
9,4,40
10,5,275
11,5,169
12,5,3
12,6,116
13,6,101
14,6,11
14,7,498
15,7,265
16,7,4
16,8,218
17,7,2
17,8,69
18,8,273
18,9,7
19,8,5
19,9,332
20,9,104
20,10,834
21,9,31
21,10,351
22,9,4
22,10,2142
22,11,38
23,10,22
23,11,648
24,10,4
24,11,747
24,12,3886
25,11,19
25,12,973
25,13,2
26,11,6
26,12,3339
26,13,37
27,12,44
27,13,2663
28,12,5
28,13,1380
28,14,7526
29,13,74
29,14,3896
30,12,2
30,13,42
30,14,3515
30,15,26
31,12,4
31,13,5
31,14,276
31,15,7047
32,14,30
32,15,4851
32,16,19204
33,14,7
33,15,610
33,16,15751
34,14,5
34,15,646
34,16,7969
34,17,113
35,14,9
35,15,54
35,16,5229
35,17,56874
36,14,1
36,15,96
36,16,3097
36,17,10
36,18,47821
37,15,4
37,16,912
37,17,169582
37,18,48260
38,16,169
38,17,14646
38,18,128841
38,19,10
39,17,586
39,18,167584
39,19,1254208
40,18,58039
40,20,2236
41,18,1783214
41,19,3740663
42,19,5
42,20,62
43,20,3
