4,1,713
4,3,5
5,1,5
5,2,2
5,3,6
6,1,5
6,2,1173
6,3,3300
6,4,1
7,2,27
7,3,1816
7,4,322
8,2,26
8,3,406
8,4,768
8,5,5
9,2,1
9,3,27
9,4,648
9,5,14
10,3,3
10,4,289
10,5,453
10,6,8
11,4,18
11,5,624
11,6,101
12,4,2
12,5,109
12,6,2445
12,7,2
13,4,1
13,5,28
13,6,683
13,7,91
14,5,9
14,6,449
14,7,882
14,8,10
15,6,52
15,7,1277
15,8,165
16,6,5
16,7,132
16,8,3033
17,6,1
17,7,33
17,8,676
17,9,21
18,6,2
18,7,22
18,8,588
18,9,233
18,10,11
19,7,3
19,8,122
19,9,560
19,10,67
20,8,40
20,9,391
20,10,2498
21,8,6
21,9,165
21,10,2082
21,11,55
22,8,1
22,9,58
22,10,2444
22,11,939
22,12,25
23,9,9
23,10,335
23,11,3468
23,12,225
24,9,3
24,10,142
24,11,1175
24,12,5350
25,10,17
25,11,599
25,12,4668
25,13,89
25,14,1
26,10,2
26,11,131
26,12,6581
26,13,1414
26,14,24
27,10,1
27,11,25
27,12,1108
27,13,8545
27,14,310
28,11,5
28,12,476
28,13,3515
28,14,12701
28,15,1
29,12,43
29,13,1892
29,14,14290
29,15,96
30,12,11
30,13,498
30,14,19463
30,15,2291
30,16,11
31,13,112
31,14,6758
31,15,16621
31,16,237
32,13,28
32,14,4927
32,15,14392
32,16,15169
32,17,1
33,13,5
33,14,584
33,15,15410
33,16,29688
33,17,100
33,18,2
34,13,4
34,14,244
34,15,5336
34,16,68610
34,17,1864
34,18,35
35,13,3
35,14,23
35,15,2717
35,16,54414
35,17,34444
35,18,519
36,14,17
36,15,563
36,16,65704
36,17,49536
36,18,8800339
36,19,2
37,14,1
37,15,300
37,16,15461
37,17,101805
37,18,93454
37,19,13
38,15,55
38,16,7219
38,17,68729
38,18,816253
38,19,147
39,15,1
39,16,204
39,17,69199
39,18,1193940
39,19,4756
40,17,20529
40,18,68634771
40,19,2575
40,20,5
41,18,96795
41,19,487
41,20,5
42,18,8
42,19,48
42,20,10
43,19,2
43,20,39
44,21,2
