4,1,690
4,3,6
5,1,4
5,2,5
5,3,4
6,1,4
6,2,1323
6,3,3974
6,4,3
7,2,22
7,3,2370
7,4,339
8,2,33
8,3,446
8,4,1144
8,5,9
9,2,4
9,3,48
9,4,780
9,5,13
10,2,1
10,4,279
10,5,695
10,6,17
11,4,23
11,5,791
11,6,120
12,4,5
12,5,119
12,6,2539
12,7,1
13,5,21
13,6,789
13,7,65
14,5,3
14,6,452
14,7,1355
14,8,19
15,6,41
15,7,1563
15,8,152
15,9,1
16,6,4
16,7,142
16,8,3190
17,6,1
17,7,31
17,8,703
17,9,12
18,7,15
18,8,839
18,9,242
18,10,4
19,7,2
19,8,124
19,9,922
19,10,58
20,7,1
20,8,57
20,9,492
20,10,3315
20,11,2
21,8,14
21,9,187
21,10,2429
21,11,69
22,8,3
22,9,80
22,10,4706
22,11,1020
22,12,23
23,9,13
23,10,376
23,11,4186
23,12,188
24,9,2
24,10,161
24,11,1929
24,12,9235
25,10,13
25,11,623
25,12,5638
25,13,68
26,11,123
26,12,9594
26,13,1519
26,14,30
27,11,28
27,12,1196
27,13,11255
27,14,290
27,15,1
28,11,1
28,12,464
28,13,4899
28,14,19940
29,12,38
29,13,2014
29,14,18182
29,15,90
30,12,23
30,13,557
30,14,22785
30,15,2315
30,16,12
31,13,117
31,14,7010
31,15,23613
31,16,257
32,11,1
32,12,3
32,13,25
32,14,4860
32,15,18913
32,16,33547
32,17,3
33,13,7
33,14,562
33,15,16239
33,16,45570
33,17,115
34,13,2
34,14,243
34,15,5804
34,16,76067
34,17,1936
34,18,23
35,13,3
35,14,31
35,15,2644
35,16,58958
35,17,90764
35,18,515
36,14,8
36,15,557
36,16,68368
36,17,49233
36,18,14367768
36,19,3
37,14,3
37,15,321
37,16,16413
37,17,271172
37,18,140584
37,19,5
38,15,66
38,16,7356
38,17,82767
38,18,945446
38,19,183
39,15,1
39,16,199
39,17,68889
39,18,1357198
39,19,1262757
39,20,1
40,16,1
40,17,20253
40,18,72671117
40,19,2493
40,20,2226
41,18,1889720
41,19,3765195
41,20,6
42,18,3
42,19,44
42,20,53
43,19,1
43,20,43
46,22,1
50,22,2
50,23,1
