4,1,1494
4,3,28
5,1,10
5,2,17
5,3,7
6,1,10
6,2,2707
6,3,8669
6,4,3
7,2,47
7,3,4704
7,4,735
8,2,50
8,3,865
8,4,2491
8,5,20
9,2,3
9,3,142
9,4,1668
9,5,21
10,2,1
10,3,9
10,4,586
10,5,1462
10,6,19
11,4,36
11,5,1717
11,6,263
12,4,10
12,5,263
12,6,5345
12,7,2
13,4,1
13,5,56
13,6,1821
13,7,203
14,5,9
14,6,1012
14,7,2988
14,8,30
15,6,94
15,7,3467
15,8,380
16,6,4
16,7,320
16,8,6948
16,9,3
17,6,3
17,7,101
17,8,1570
17,9,57
18,6,1
18,7,41
18,8,1870
18,9,551
18,10,19
19,7,4
19,8,246
19,9,1934
19,10,122
20,8,114
20,9,1075
20,10,7196
20,11,1
21,8,19
21,9,389
21,10,5328
21,11,166
22,8,11
22,9,180
22,10,10203
22,11,2262
22,12,54
23,9,27
23,10,779
23,11,9075
23,12,426
24,9,7
24,10,366
24,11,4537
24,12,20615
24,13,3
25,10,40
25,11,1328
25,12,12234
25,13,158
26,9,1
26,10,6
26,11,311
26,12,21402
26,13,3348
26,14,54
27,11,57
27,12,2673
27,13,24425
27,14,673
28,11,4
28,12,972
28,13,10513
28,14,44068
28,15,1
29,11,2
29,12,73
29,13,4474
29,14,39560
29,15,231
30,12,35
30,13,1137
30,14,48838
30,15,4975
30,16,34
31,12,3
31,13,286
31,14,15146
31,15,50783
31,16,521
31,17,1
32,12,1
32,13,69
32,14,10303
32,15,40226
32,16,71803
32,17,5
33,12,1
33,13,14
33,14,1175
33,15,33646
33,16,95072
33,17,219
33,18,3
34,12,1
34,13,6
34,14,520
34,15,12571
34,16,159495
34,17,4060
34,18,57
35,13,5
35,14,66
35,15,5556
35,16,123545
35,17,190881
35,18,1122
36,14,21
36,15,1263
36,16,140975
36,17,101350
36,18,32718862
36,19,9
37,14,3
37,15,662
37,16,32331
37,17,537278
37,18,269656
37,19,19
38,15,143
38,16,15026
38,17,171928
38,18,2007583
38,19,368
39,15,1
39,16,445
39,17,141408
39,18,2777990
39,19,2584233
39,20,2
40,16,2
40,17,40442
40,18,139095677
40,19,5586
40,20,5000
41,18,3183770
41,19,6343687
41,20,10
42,18,26
42,19,106
42,20,149
43,19,5
43,20,104
44,20,4
44,21,1
