5,2,2
6,3,703
7,3,343
8,3,28
8,4,364
9,4,36
10,5,281
11,5,148
12,5,4
12,6,125
13,6,87
14,6,6
14,7,485
15,7,223
16,7,5
16,8,192
17,7,2
17,8,42
18,8,297
18,9,4
19,8,9
19,9,343
20,8,5
20,9,106
20,10,882
21,9,30
21,10,413
22,9,12
22,10,2247
22,11,60
23,10,29
23,11,681
24,10,4
24,11,773
24,12,3830
25,11,27
25,12,977
26,12,3283
26,13,42
27,12,56
27,13,2632
27,14,4
28,12,1
28,13,1534
28,14,7658
29,13,84
29,14,4054
30,13,71
30,14,3564
30,15,24
31,14,261
31,15,7130
32,12,3
32,13,1
32,14,36
32,15,4849
32,16,18919
33,14,7
33,15,606
33,16,16364
34,14,6
34,15,617
34,16,8240
34,17,122
35,14,11
35,15,70
35,16,5185
35,17,56891
36,15,29
36,16,2939
36,17,18
36,18,5656943
37,15,3
37,16,963
37,17,171237
37,18,48543
38,16,157
38,17,15151
38,18,133378
38,19,3
39,16,1
39,17,525
39,18,168935
39,19,1258243
40,17,3
40,18,4835327
40,20,2225
41,18,1793830
41,19,3764713
42,19,3
42,20,49
43,20,3
50,22,2
