3,1,6,1
3,1,7,2101
3,1,8,2
3,1,9,1346
3,1,10,1
3,1,11,1563
4,1,7,859
4,1,9,582
4,1,11,662
4,3,7,17
4,3,9,9
4,3,11,12
5,1,7,3
5,1,9,3
5,1,11,4
5,2,7,4
5,2,9,7
5,2,11,2
5,3,7,6
5,3,9,2
5,3,11,6
6,1,7,3
6,1,9,3
6,1,11,4
6,2,7,11
6,2,9,7
6,2,11,7
6,3,7,899
6,3,9,599
6,3,11,731
6,4,7,1
6,4,9,1
6,4,11,1
7,2,7,34
7,2,9,21
7,2,11,21
7,3,7,426
7,3,9,283
7,3,11,303
8,2,9,1
8,3,7,41
8,3,9,23
8,3,11,14
8,4,7,1504
8,4,9,984
8,4,11,1140
8,5,11,1
9,2,7,1
9,2,9,1
9,2,11,2
9,4,7,55
9,4,9,38
9,4,11,40
9,5,7,21
9,5,9,13
9,5,11,11
10,3,7,4
10,3,9,1
10,3,11,2
10,4,11,1
10,5,7,359
10,5,9,244
10,5,11,275
11,5,7,184
11,5,9,111
11,5,11,169
11,6,11,1
12,5,7,4
12,5,9,3
12,5,11,3
12,6,7,161
12,6,9,98
12,6,11,117
13,4,11,1
13,6,7,141
13,6,9,89
13,6,11,102
13,7,11,1
14,6,7,5
14,6,9,8
14,6,11,11
14,7,7,661
14,7,9,467
14,7,11,499
15,7,7,338
15,7,9,227
15,7,11,266
15,8,7,1
16,7,7,81
16,7,9,45
16,7,11,63
16,8,7,280
16,8,9,189
16,8,11,219
16,9,9,1
17,7,11,2
17,8,7,78
17,8,9,54
17,8,11,70
18,8,7,410
18,8,9,289
18,8,11,274
18,9,7,12
18,9,9,12
18,9,11,8
19,8,9,7
19,8,11,5
19,9,7,425
19,9,9,296
19,9,11,334
19,11,7,1
20,8,9,2
20,9,7,129
20,9,9,107
20,9,11,106
20,10,7,1127
20,10,9,761
20,10,11,835
21,9,7,36
21,9,9,21
21,9,11,31
21,10,7,591
21,10,9,381
21,10,11,353
21,11,7,3
22,9,7,8
22,9,9,4
22,9,11,4
22,10,7,2931
22,10,9,1796
22,10,11,2145
22,11,7,89
22,11,9,75
22,11,11,39
23,10,7,28
23,10,9,34
23,10,11,22
23,11,7,854
23,11,9,597
23,11,11,661
23,12,7,2
24,10,7,4
24,10,9,2
24,10,11,5
24,11,7,1169
24,11,9,731
24,11,11,793
24,12,7,5314
24,12,9,3380
24,12,11,3897
24,13,7,1
25,11,7,47
25,11,9,26
25,11,11,20
25,12,7,1190
25,12,9,809
25,12,11,986
25,13,11,2
26,11,7,12
26,11,9,2
26,11,11,7
26,12,7,4297
26,12,9,2936
26,12,11,3363
26,13,7,37
26,13,9,43
26,13,11,43
27,12,7,68
27,12,9,52
27,12,11,48
27,13,7,3451
